Modalidad;actividad;descripcion;lugar;direccion;calle;altura;barrio;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;suspende_por_lluvia;gratuita;long;lat;links
Presencial;Desmontajes Visuales;Un análisis técnico de los espectáculos internacionales y nacionales presentados en el FIBA.;TEATRO SAN MARTÍN;;AVENIDA CORRIENTES;1530.0;SAN NICOLÁS;1.0;2020-01-27;2020-01-31;Actividad;Formación;Artes Escénicas;Público General;No;Si;-58.3886391689903;-34.6042417731319;https://festivales.buenosaires.gob.ar/2019/fiba/es/home
Presencial;Clave 13/17. Un espacio pensado por y para adolescentes;Inédito Clave. Nuevos amigxs Clave vienen a compartir sus música. Terraza;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-02-09;2020-02-09;Actividad;Concierto / Recital;Música;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Bajo los Árboles;Este taller, coordinado por la artista plástica Iris Nó, coloca al pintor y al estudiante de arte en un escenario generoso y encantado para potenciar su proceso creativo: el jardín Andaluz del Museo.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-27;2020-02-27;Actividad;Formación;Artes Visuales;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Corso de Carnaval  Villa Pueyrredón;Las murgas son las protagonistas que animan con bailes, silbatos, bombos con platillo y redoblantes los diferentes corsos de la Ciudad.;;;;;;;2020-02-08;2020-02-08;Actividad;Fiesta popular;Cultura Tradicional Popular y Patrimonio Inmaterial;Público General;No;Si;;;
Presencial;Visitas a la casa y el jardín;Recorridos participativos para disfrutar en grupo y descubrir juntos el museo, el Jardín Andaluz y su historia.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-02;2020-02-02;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Chevy Rockets;Tarde de Rock & Blues con la banda emblemática del Parque Avellaneda.;ESPACIO CULTURAL CHACRA DE LOS REMEDIOS;;AV. DIRECTORIO Y LACARRA;;PARQUE AVELLANEDA;9.0;2020-01-05;2020-01-05;Actividad;Concierto / Recital;Música;Público General;Si;Si;-58.4799281761459;-34.6413019743389;
Presencial;Seminario de actuacion: creacion de personaje en la escena;Público: jóvenes y adultos. Docente: Julio Jorónimo Molina;CENTRO CULTURAL SAN MARTÍN;;SARMIENTO;1551.0;SAN NICOLÁS;1.0;2020-02-10;2020-03-30;Formación;0;Artes Escénicas;Público General;No;Si;-58.3885823890446;-34.6053715211194;http://www.elculturalsanmartin.org/cursos-y-talleres/1126-seminario-de-actuacion-creacion-de-persona
Presencial;La actuación a partir de monólogos de cine;Público: jóvenes y adultos. Docente: Andrea Giase;CENTRO CULTURAL SAN MARTÍN;;SARMIENTO;1551.0;SAN NICOLÁS;1.0;2020-02-14;2020-03-20;Formación;0;Artes Escénicas;Público General;No;Si;-58.3885823890446;-34.6053715211194;http://www.elculturalsanmartin.org/cursos-y-talleres/1149-la-actuacion-a-partir-de-monologos-de-cine
Presencial;Tierra Partida, lo demás no importa nada;“Seamos libres y lo demás no importa nada”, dijo San Martín. Y resultó que lo demás también importaba. Un recorrido clown por nuestro siglo XIX, con sus contradicciones y luchas más vigentes que nunca;LA CARPINTERÍA;;JEAN JAURES;858.0;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.4075936;-34.6004276;https://www.buenosaires.gob.ar/fiba
Presencial;Moksha;Acción performática que explora los estereotipos de género, los espacios de poder y los cuerpos sujetados a través de la danza y la música, interpretada únicamente por un contrabajo.;LA PERCALINA;;GUARDIA VIEJA;3566.0;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Concierto / Recital;Música;Público General;No;Si;-58.4149099306122;-34.6020091979592;
Presencial;Corso de Carnaval Palaza Ricchieri;Las murgas son las protagonistas que animan con bailes, silbatos, bombos con platillo y redoblantes los diferentes corsos de la Ciudad.;PLAZA RICCHIERI;;BEIRO, FRANCISCO AV.;;VILLA DEVOTO;11.0;2020-02-08;2020-02-08;Actividad;Fiesta popular;Cultura Tradicional Popular y Patrimonio Inmaterial;Público General;No;Si;-58.51941005701649;-34.61053949022228;
Presencial;Jugando con mi memoria visual;Espacio de juego lúdico a base de juegos sostenidos por la atención, retención y memoria visual. A cargo de la Lic. Dolores Viana.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-02-07;2020-02-07;Actividad;Encuentro;Artes Visuales;Niños (4-7);No;Si;-58.4179707;-34.5691316;
Presencial;Marionetas de fábula;Lectura de una fábula y producción de marionetas inspiradas en los personajes de la historia. A cargo de María Jebsen.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-01-16;2020-01-16;Actividad;Encuentro;Mixto;Niños (4-7);No;Si;-58.4179707;-34.5691316;
Presencial;Visitas a la casa y el jardín;Recorridos participativos para disfrutar en grupo y descubrir juntos el museo, el Jardín Andaluz y su historia.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-09;2020-02-09;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Demostración Danzas Urbanas + Taller;Demostración pública;ESCUELA MEDIA 33 DE 19;RABANAL, FRANCISCO, INTENDENTE AV. 1549;RABANAL, FRANCISCO, INTENDENTE AV.;1549.0;NUEVA POMPEYA;4.0;2020-01-24;2020-01-24;Actividad;Exposición;Artes Escénicas;Público General;No;Si;-58.42006594187661;-34.65571851458739;
Presencial;Moksha;Acción performática que explora los estereotipos de género, los espacios de poder y los cuerpos sujetados a través de la danza y la música, interpretada únicamente por un contrabajo.;LA PERCALINA;;GUARDIA VIEJA;3566.0;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Concierto / Recital;Música;Público General;No;Si;-58.4149099306122;-34.6020091979592;
Presencial;MORGANA - Máquina Orgánica;Instalación interactiva, escénica e inmersiva en la que los espectadores podrán conversar con Morgana, una pitonisa digital que les hará predicciones sobre su futuro;LADRAN SANCHO;;GUARDIA VIEJA;3811.0;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.4180733796145;-34.6008850145658;https://www.buenosaires.gob.ar/fiba
Presencial;Pintura Cuzqueña;El encanto de los ángeles arcabuceros y las Vírgenes andinas. A cargo de la directora del Museo, Dra. Leontina Etchelecu.;MUSEO HISTÓRICO CORNELIO DE SAAVEDRA;;CRISÓLOGO LARRALDE;6309.0;SAAVEDRA;12.0;2020-02-14;2020-02-14;Actividad;Formación;Artes Visuales;Público General;No;Si;-58.507506;-34.568784;
Presencial;Precarizada;"Una obra de danza. Una hora de trabajo. El intento de poner en tensión la relación entre danza, trabajo remunerado y trabajo no remunerado.
";TEATRO PICADERO;;DISCEPOLO, ENRIQUE SANTOS;1857.0;BALVANERA;3.0;2020-01-31;2020-01-31;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.3933987282304;-34.6040267245005;
Presencial;Narración para bebés;"Encuentro con cuentos, libros y poemas contados, cantados y jugados. Un espacio de encuentro entre niños, adultos, poemas y breves relatos. 
";MUSEO DE ARTE MODERNO DE BUENOS AIRES;;AV. SAN JUAN;350.0;SAN TELMO;1.0;2020-02-02;2020-02-02;Actividad;Formación;Literatura, Libro y Lectura;Primera infancia (0-3);No;Si;-58.3707230150043;-34.6218932900146;
Presencial;Taller de verano: Dactilografía;Utilizando los dedos, se guiará a los asistentes para pintar con pintura plateada sobre hoja negra la silueta de la lámpara votiva (previamente dibujada).;MUSEO DE ARTE HISPANOAMERICANO ISAAC FERNÁNDEZ BLANCO - PALACIO NOEL;;SUIPACHA;1422.0;RECOLETA;2.0;2020-02-27;2020-02-27;Actividad;Formación;Artes Visuales;Primera infancia (0-3);No;Si;-58.3799282809011;-34.590901591725;
Presencial;Amor de V erano. Clases de Verano;Retratos a mano con Sonia Basch;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-01-23;2020-01-23;Actividad;Formación;Otros;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de V erano. Clases de Verano;Breaking con Coco y Space. Espacio Cultura Hip Hop;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-02-08;2020-02-08;Actividad;Encuentro;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de V erano. Visitas guiadas;Visitas guiadas. Pasaje del Tilo;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-01-30;2020-01-30;Actividad;Formación;Otros;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Taller de breaking inicial;Interpretar la música con el cuerpo desde juegos  y sensaciones. Por Luciérnagas de Calle;USINA DEL ARTE;;AGUSTÍN R. CAFFARENA;1.0;LA BOCA;4.0;2020-02-07;2020-02-07;Actividad;Formación;Otros;Público General;No;Si;-58.3570997;-34.6287761;
Presencial;"""Finde siglo"", de Lucio Castro";Estreno del film ganador de la Competencia Argentina del 21° Bafici, ópera prima del realizador Lucio Castro;TEATRO SAN MARTÍN;;AVENIDA CORRIENTES;1530.0;SAN NICOLÁS;1.0;2020-02-09;2020-02-09;Actividad;Ciclo;Cine y Audiovisual;Público General;No;Si;-58.3886391689903;-34.6042417731319;
Presencial;Taller de exploración del movimiento por Claire Cunningham;Abierto a personas con diversas capacidades motoras y sensoriales.;LA FÁBRICA. ESPACIO DE ARTE;ACEVEDO 768;ACEVEDO;768.0;CHACARITA;15.0;2020-01-28;2020-01-28;Actividad;Formación;Artes Escénicas;Público General;No;Si;-58.43665453786603;-34.5954636331971;https://festivales.buenosaires.gob.ar/2019/fiba/es/home
Presencial;"""La vis cómica"", de Mauricio Kartun";Escrita y dirigida por Mauricio Kartun. La inefable compañía teatral de Angulo desembarca en la Buenos Ayres virreinal, embarrada y contrabandista. El vínculo, a menudo ruinoso, entre artistas y poder;TEATRO SAN MARTÍN;;AVENIDA CORRIENTES;1530.0;SAN NICOLÁS;1.0;2020-02-22;2020-02-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.3886391689903;-34.6042417731319;
Presencial;Temporada de teatro de verano en el Museo Larreta;"El grupo ""La Galera"", con dirección de Héctor Presa, interpreta el espectáculo infantil ""Los Tres Chanchitos""";MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-08;2020-02-08;Actividad;Ciclo;Artes Escénicas;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Visitas a la casa y el jardín;Recorridos participativos para disfrutar en grupo y descubrir juntos el museo, el Jardín Andaluz y su historia.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-15;2020-02-15;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Visitas a la casa y el jardín;Recorridos participativos para disfrutar en grupo y descubrir juntos el museo, el Jardín Andaluz y su historia.;MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA;;JURAMENTO;2291.0;BELGRANO;13.0;2020-02-09;2020-02-09;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.4552642527823;-34.5611286837468;
Presencial;Corsos PARQUE AVELLANEDA;Carnaval Porteño es un festejo que llega a cada rincón de la Ciudad, con un amplio abanico de espectáculos, siendo punto de encuentro de vecinos y familias.;CORSO PARQUE AVELLANEDA;;FERNANDEZ;600.0;PARQUE AVELLANEDA;9.0;2020-02-01;2020-02-01;Actividad;Fiesta popular;Cultura Tradicional Popular y Patrimonio Inmaterial;Público General;Si;Si;-58.4832476;-34.642007;
Presencial;Cultura Rap;La pretemporada. Torneo de freestyle organizado por Juancin. Espacio Cultura Hip Hop;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-02-09;2020-02-09;Actividad;Ciclo;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Ciclo de la Escuela Feminista de Pintura;Transformando la sala en un aula de colores, Ad Minoliti crea un espacio donde activistas, académicxs y artistas ofrecen clases con el objetivo de revisar los géneros tradicionales de la pintura.;MUSEO DE ARTE MODERNO DE BUENOS AIRES;;AV. SAN JUAN;350.0;SAN TELMO;1.0;2020-02-08;2020-02-08;Actividad;Formación;Artes Visuales;Público General;No;Si;-58.3707230150043;-34.6218932900146;
Presencial;Jugando con mi memoria visual;Espacio de juego lúdico a base de juegos sostenidos por la atención, retención y memoria visual. A cargo de la Lic. Dolores Viana.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-02-17;2020-02-17;Actividad;Encuentro;Artes Visuales;Niños (4-7);No;Si;-58.4179707;-34.5691316;
Presencial;Diseñando nuestra indumentaria;Espacio de integración para niños sobre diversidad de género con el fin de lograr representar una variedad de vestimentas diferentes a base de técnicas de dibujo y collage sobre personajes de cartón.;MUSEO DE ARTES PLÁSTICAS EDUARDO SÍVORI;;AV. INFANTA ISABEL;555.0;PALERMO;14.0;2020-01-06;2020-01-06;Actividad;Encuentro;Diseño;Primera infancia (0-3);No;Si;-58.4179707;-34.5691316;
Presencial;Amor de Verano. Ves, querés;Feria Habitat BA de Fauna Querida;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-02-01;2020-02-01;Actividad;Encuentro;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Juegos de antaño;Jornada de juegos tradicionales: ajedrez, damas, ludo y balero, entre otros.;MUSEO CASA CARLOS GARDEL;;JEAN JAURES;735.0;BALVANERA;3.0;2020-01-25;2020-01-25;Actividad;Encuentro;Cultura Tradicional Popular y Patrimonio Inmaterial;Niños (4-7);No;Si;-58.4078695;-34.6016682;
Presencial;Una obra más real que la del mundo;"Recorrido por la obra de Itala Fulvia Villa en el Cementerio de Chacarita. Una experiencia para hablar de lo que no se habla, para mirar lo que no se mira.
";CEMENTERIO DE LA CHACARITA;GUZMAN AV. 680;GUZMAN AV.;680.0;CHACARITA;15.0;2020-01-24;2020-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.4551824661208;-34.58739419781683;https://festivales.buenosaires.gob.ar/2019/fiba/es/home
Presencial;3Lmentes;Performance que fusiona la danza, la música y la tecnología interactiva. A través de una cámara infrarroja y diversos sensores, se crea un sistema audiovisual interactivo completo;GUARDIA VIEJA ENTRE BULNES Y MARIO BRAVO;;GUARDIA VIEJA ENTRE BULNES Y MARIO BRAVO;;ALMAGRO;5.0;2020-02-01;2020-02-01;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.4170519811006;-34.6012222773823;
Presencial;Taller de Burbujas!;Super diversión para disfrutar al aire libre, por Pandereta;USINA DEL ARTE;;AGUSTÍN R. CAFFARENA;1.0;LA BOCA;4.0;2020-02-25;2020-02-25;Actividad;Formación;Otros;Niños (4-7);No;Si;-58.3570997;-34.6287761;
Presencial;Noches de verano;Al aire libre: música, cine y letras. CINE: Sueño Florianópolis, de Ana Katz (2018) a las 21h. MÚSICA: Coghlan a las 19h.;CENTRO CULTURAL SAN MARTÍN;;SARMIENTO;1551.0;SAN NICOLÁS;1.0;2020-02-22;2020-02-22;Actividad;Ciclo;Mixto;Público General;No;Si;-58.3885823890446;-34.6053715211194;
Presencial;Taller de collage veraniego;Te invitamos a un taller para conocer la técnica del collage a cargo de Estrellita Caracol, una experta en el arte de recortar, pegar y crear mundos divertidos e ingeniosos.;MUSEO DE ARTE MODERNO DE BUENOS AIRES;;AV. SAN JUAN;350.0;SAN TELMO;1.0;2020-02-08;2020-02-08;Actividad;Formación;Artes Visuales;Niños (4-7);No;Si;-58.3707230150043;-34.6218932900146;
